experiment,model,task_id,condition,trial,scoring_mode,repair_success,failure_label,evidence_type,trace_leakage_risk,evidence_use_label,secondary_label,short_reason,repair_path
thesis-scale-final-2026-05-15,qwen3-coder:30b,repair_040_wrong_record_from_parallel_lists,provenance-assisted,1,normalized,true,passed,value_provenance,medium,used_evidence,clean_semantic_fix,"Repair changes score from scores[0] to scores[1], matching the traced selected-record source.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_040_wrong_record_from_parallel_lists__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen3-coder:30b,repair_041_wrong_discount_source_after_normalize,provenance-assisted,1,normalized,true,passed,value_provenance,medium,used_evidence,clean_semantic_fix,"Repair restores promoDiscount from raw.promoDiscount, directly following the source distinction exposed by the evidence.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_041_wrong_discount_source_after_normalize__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen3-coder:30b,repair_034_branch_uses_stale_flag,provenance-assisted,1,normalized,true,passed,branch_behavior,medium,used_evidence,clean_semantic_fix,"Repair switches the predicate from cached.active to current.active, which is consistent with the branch evidence.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_034_branch_uses_stale_flag__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen2.5-coder:14b,repair_024_helper_return_bad_value,provenance-assisted,1,normalized,true,passed,value_provenance,medium,used_evidence,clean_semantic_fix,"Repair changes loadCount to raw.count and parses the returned value, matching the provenance explanation.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen2.5-coder-14b/repairs/repair_024_helper_return_bad_value__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen2.5-coder:14b,repair_028_value_copied_through_function,provenance-assisted,1,normalized,true,passed,value_provenance,medium,used_evidence,clean_semantic_fix,"Repair routes adjustment.amount through raw.discount, directly matching the copied-value trace.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen2.5-coder-14b/repairs/repair_028_value_copied_through_function__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen2.5-coder:14b,repair_031_wrong_index_after_grouping,provenance-assisted,3,normalized,true,passed,value_provenance,medium,used_evidence,clean_semantic_fix,"Repair changes groups[0] to groups[1], following the current-versus-archive provenance evidence.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen2.5-coder-14b/repairs/repair_031_wrong_index_after_grouping__provenance-assisted__trial-03__normalized.tds
thesis-scale-final-2026-05-15,qwen2.5-coder:14b,repair_033_boundary_branch_inclusive_threshold,provenance-assisted,1,normalized,true,passed,branch_behavior,medium,used_evidence,clean_semantic_fix,"Repair changes the branch comparison to include the threshold boundary, consistent with the branch behavior trace.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen2.5-coder-14b/repairs/repair_033_boundary_branch_inclusive_threshold__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_021_deep_chain_type_mismatch,provenance-assisted,2,normalized,true,passed,value_provenance,low,used_evidence,clean_semantic_fix,"Repair inserts parsing along the traced string-to-number path and reaches a clean semantic fix.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_021_deep_chain_type_mismatch__provenance-assisted__trial-02__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_035_nested_guard_wrong_branch_body,provenance-assisted,1,normalized,true,passed,branch_behavior,medium,used_evidence,clean_semantic_fix,"Repair changes the nested branch body in the way required by the observed branch behavior.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_035_nested_guard_wrong_branch_body__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_037_running_total_reset_inside_loop,provenance-assisted,1,normalized,true,passed,final_value_history,low,used_evidence,clean_semantic_fix,"Repair preserves the running total across iterations, consistent with the supplied history evidence.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_037_running_total_reset_inside_loop__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_029_wrong_helper_source_chain,provenance-assisted,1,normalized,false,wrong_output,value_provenance,medium,ignored_evidence,unchanged_wrong_source,"Repair leaves extractAmount returning raw.backup.total even though the evidence exposes raw.current.total as the relevant source.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_029_wrong_helper_source_chain__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_029_wrong_helper_source_chain,provenance-assisted,2,normalized,false,wrong_output,value_provenance,medium,ignored_evidence,unchanged_wrong_source,"Repair again keeps raw.backup.total and changes unrelated declarations, so the traced wrong source is untouched.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_029_wrong_helper_source_chain__provenance-assisted__trial-02__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_023_wrong_index_after_helper,provenance-assisted,3,normalized,false,wrong_output,value_provenance,medium,ignored_evidence,unchanged_wrong_source,"Repair leaves selectRate using rates[0], ignoring the current-rate provenance evidence.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_023_wrong_index_after_helper__provenance-assisted__trial-03__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_026_list_record_value_flow,provenance-assisted,3,normalized,false,runtime_error_after_patch,value_provenance,high,unclear,protocol_or_syntax_failure,"The output collapses to an isolated expression, making reliable evidence-use interpretation impossible.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_026_list_record_value_flow__provenance-assisted__trial-03__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_033_boundary_branch_inclusive_threshold,provenance-assisted,1,normalized,false,wrong_output,branch_behavior,medium,ignored_evidence,unchanged_wrong_source,"Repair leaves the exclusive comparison unchanged, so the supplied boundary evidence is not acted on.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_033_boundary_branch_inclusive_threshold__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen3-coder:30b,repair_017_wrong_branch_nested_record,provenance-assisted,1,normalized,false,wrong_output,branch_behavior,medium,misused_evidence,representation_overrepair,"Repair changes the comparison but also swaps the branch outputs, reacting to the evidence without preserving intended behavior.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_017_wrong_branch_nested_record__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_011_incorrect_accumulator_loop,provenance-assisted,2,normalized,false,syntax_error,final_value_history,low,misused_evidence,protocol_or_syntax_failure,"Repair reacts to the total-history evidence by attempting accumulation, but uses unsupported += syntax instead of valid Tundra.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_011_incorrect_accumulator_loop__provenance-assisted__trial-02__normalized.tds
thesis-scale-final-2026-05-15,qwen2.5-coder:14b,repair_029_wrong_helper_source_chain,provenance-assisted,1,normalized,false,wrong_output,value_provenance,medium,ignored_evidence,unchanged_wrong_source,"Repair keeps extractAmount on raw.backup.total, leaving the trace-identified source error in place.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen2.5-coder-14b/repairs/repair_029_wrong_helper_source_chain__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen2.5-coder:14b,repair_041_wrong_discount_source_after_normalize,provenance-assisted,3,normalized,false,wrong_output,value_provenance,medium,misused_evidence,downstream_rerouting_fix,"Repair fixes the normalize source but then subtracts memberDiscount downstream, misapplying the relevant evidence.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen2.5-coder-14b/repairs/repair_041_wrong_discount_source_after_normalize__provenance-assisted__trial-03__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_010_wrong_branch_condition,provenance-assisted,1,normalized,false,wrong_output,branch_behavior,medium,ignored_evidence,unchanged_wrong_source,"Repair leaves the wrong branch relation unchanged, so the evidence does not appear to influence the patch.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_010_wrong_branch_condition__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen2.5-coder:14b,repair_006_type_mismatch_function_chain,provenance-assisted,1,normalized,true,passed,value_provenance,low,evidence_not_needed,clean_semantic_fix,"The paired baseline repair is identical, so provenance was not needed for this attempt.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen2.5-coder-14b/repairs/repair_006_type_mismatch_function_chain__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen2.5-coder:14b,repair_038_last_valid_value_overwritten,provenance-assisted,1,normalized,true,passed,final_value_history,medium,evidence_not_needed,clean_semantic_fix,"The paired baseline repair is identical and already solves the task.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen2.5-coder-14b/repairs/repair_038_last_valid_value_overwritten__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,qwen3-coder:30b,repair_013_type_mismatch_list_sum,provenance-assisted,1,normalized,true,passed,value_provenance,low,evidence_not_needed,clean_semantic_fix,"The paired baseline output already performs the same three parseNumber repairs.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_013_type_mismatch_list_sum__provenance-assisted__trial-01__normalized.tds
thesis-scale-final-2026-05-15,deepseek-coder:6.7b,repair_030_parse_in_wrong_helper,provenance-assisted,1,normalized,true,passed,value_provenance,low,evidence_not_needed,clean_semantic_fix,"The paired baseline repair is semantically equivalent, so evidence was not necessary here.",bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/deepseek-coder-6.7b/repairs/repair_030_parse_in_wrong_helper__provenance-assisted__trial-01__normalized.tds
