timestamp,model,task_set,prompt_version,trial,scoring_mode,task_id,condition,failure_kind,bug_type,evidence_type,trace_leakage_risk,difficulty,parse_valid,runtime_success,repair_success,matched_expected_output,failure_label,tests_passed,tests_total,failed_test,expected_output,actual_output,test_results,exit_code,prompt_path,repair_path,ollama_exit_code,ollama_stderr
20260515-144516,qwen3-coder:30b,pilot,v2,1,strict,repair_006_type_mismatch_function_chain,error-only,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__error-only__trial-01.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__error-only__trial-01.tds,0,
20260515-144516,qwen3-coder:30b,pilot,v2,1,normalized,repair_006_type_mismatch_function_chain,error-only,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__error-only__trial-01.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__error-only__trial-01__normalized.tds,0,
20260515-144516,qwen3-coder:30b,pilot,v2,2,strict,repair_006_type_mismatch_function_chain,error-only,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__error-only__trial-02.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__error-only__trial-02.tds,0,
20260515-144516,qwen3-coder:30b,pilot,v2,2,normalized,repair_006_type_mismatch_function_chain,error-only,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__error-only__trial-02.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__error-only__trial-02__normalized.tds,0,
20260515-144516,qwen3-coder:30b,pilot,v2,3,strict,repair_006_type_mismatch_function_chain,error-only,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__error-only__trial-03.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__error-only__trial-03.tds,0,
20260515-144516,qwen3-coder:30b,pilot,v2,3,normalized,repair_006_type_mismatch_function_chain,error-only,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__error-only__trial-03.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__error-only__trial-03__normalized.tds,0,
20260515-144516,qwen3-coder:30b,pilot,v2,1,strict,repair_006_type_mismatch_function_chain,provenance-assisted,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__provenance-assisted__trial-01.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__provenance-assisted__trial-01.tds,0,
20260515-144516,qwen3-coder:30b,pilot,v2,1,normalized,repair_006_type_mismatch_function_chain,provenance-assisted,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__provenance-assisted__trial-01.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__provenance-assisted__trial-01__normalized.tds,0,
20260515-144516,qwen3-coder:30b,pilot,v2,2,strict,repair_006_type_mismatch_function_chain,provenance-assisted,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__provenance-assisted__trial-02.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__provenance-assisted__trial-02.tds,0,
20260515-144516,qwen3-coder:30b,pilot,v2,2,normalized,repair_006_type_mismatch_function_chain,provenance-assisted,runtime_error,type_mismatch,value_provenance,low,hard,True,True,True,True,passed,1,1,,15,15,"[{""name"": ""test_1"", ""failure_label"": ""passed"", ""repair_success"": true, ""matched_expected_output"": true, ""parse_valid"": true, ""runtime_success"": true, ""expected_output"": ""15"", ""actual_output"": ""15"", ""stderr"": """", ""exit_code"": 0}]",0,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/prompts/repair_006_type_mismatch_function_chain__provenance-assisted__trial-02.txt,/Users/ustinvaskin/Desktop/PR/Tundra-lang.git/bench/results/experiments/20260515-144516-thesis-scale-final-2026-05-15/qwen3-coder-30b/repairs/repair_006_type_mismatch_function_chain__provenance-assisted__trial-02__normalized.tds,0,
